epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,RF,LF,RH,LH
1670699045985.00,0.05145649,-2.39460184,1.5832204332189364,-64.8,53.96,34.09,94699,31936,0,247.6210906019292,36,0,0,0,0
1670699045994.00,-0.278906451,-1.094615132,2.0829276554197125,-113.58,55.49,99.54,89932,31936,0,235.1268052308393,37,0,0,0,0
1670699046002.00,0.5107171891357185,0.7053556460137427,1.3726532462835461,-60.49,34.58,217.95,87769,31936,0,229.45759204483812,38,0,0,0,0
1670699046009.00,0.9103293541922406,1.5253136996631258,0.2723963065673383,2.04,14.69,219.57,87769,31936,0,229.45759204483812,39,0,0,0,0
1670699046018.00,0.48993183548327496,1.6252621039002093,-0.10784454,27.89,-58.3,166.43,86756,31936,0,226.80252364103825,40,0,0,0,0
1670699046025.00,-0.260473798,1.2152034702314942,-0.688070872,-8.13,-137.15,102.68,86756,31936,0,226.80252364103825,41,0,0,0,0
1670699046034.00,-0.310886122,0.9151398531059207,-1.538284206,-4.9,-85.49,84.79,86717,31936,0,226.7003048179897,42,0,0,1,0
1670699046041.00,-0.01130371,0.45507282226959356,-1.708485754,0.79,-54.46,84.75,86717,31936,0,226.7003048179897,43,0,0,1,0
1670699046050.00,-0.141725075,-0.124996394,-0.968676236,-100.28,94.74,38.1,88100,31936,0,230.3251415430196,44,0,0,1,0
1670699046057.00,-0.10214867,-0.285066736,-0.498855831,-154.29,133.42,18.31,88100,31936,0,230.3251415430196,45,0,0,1,0
1670699046066.00,0.33742708072309646,-0.085137165,1.390975646502782,-232.54,162.79,-6.79,89495,31936,0,233.9814302136028,46,0,0,1,0
1670699046073.00,0.3570037415724109,0.1247934085042124,1.5408184203540025,-219.93,151.78,-17.15,89495,31936,0,233.9814302136028,47,0,0,1,1
1670699046082.00,0.23658279843221236,0.014726104022784972,1.1206723984243434,-191.19,132.9,-6.37,88958,31936,0,232.57395565008795,48,0,0,1,1
1670699046089.00,0.33616562059714433,-0.465337951,0.6105370045429986,-210.08,125.24,13.53,88958,31936,0,232.57395565008795,49,0,0,1,1
1670699046098.00,0.48575345226897926,-0.285397587,0.5704112312713273,-248.66,129.15,24.52,88953,31936,0,232.56085067277405,50,0,0,1,1
1670699046105.00,0.5153473935175316,0.3045484482817026,0.350293764,-256.14,133.82,25.55,88953,31936,0,232.56085067277405,51,0,0,0,1
1670699046114.00,0.5149483680203505,0.814501449,-0.009816921,-246.52,136.12,24.75,89528,31936,0,234.06792306387467,52,0,0,0,1
1670699046121.00,0.4245571035204208,1.1444625910279385,-0.219922466,-240.01,110.78,24.95,89528,31936,0,234.06792306387467,52,0,0,0,1
1670699046130.00,-0.645825839,2.054432741626618,-0.660024521,-234.11,31.52,24.88,91019,31936,0,237.9758272988852,53,0,0,0,1
1670699046137.00,-0.856199941,2.1944122471996055,-0.540124632,-240.62,-13.77,26.13,91019,31936,0,237.9758272988852,54,0,0,0,1
1670699046146.00,-0.596564541,2.9244007205900555,-0.190224168,-213.73,20.19,3.49,96510,31936,0,252.36771338503044,55,0,0,0,1
1670699046153.00,1.0530812359515171,2.494396858755042,0.45967566479221106,-114.97,102,-21.81,96510,31936,0,252.36771338503044,56,0,0,0,1
1670699046162.00,1.8427383061287286,0.6043983869003865,0.4895737000583805,18.31,81.79,-92.82,104015,31936,0,272.0382843332221,57,0,0,0,1
1670699046169.00,1.1024072969953973,-0.885597728,0.5394686724302493,132.43,-47.21,-123.13,104015,31936,0,272.0382843332221,58,1,0,0,0
1670699046178.00,0.8320883394753985,-0.805594822,-0.930640828,192.71,-254.5,-81.79,112580,31936,0,294.48711047196446,59,1,0,0,0
1670699046185.00,0.541781093,-0.235596136,-1.270756229,157.31,-286.34,-86.21,112580,31936,0,294.48711047196446,60,1,0,0,0
1670699046194.00,-0.33851511,0.3843952982575824,-2.350878697,115.34,-180.63,-103.17,114045,31936,0,298.3268688249425,61,1,0,0,0
1670699046201.00,-0.388801083,0.4043765365542209,-2.231008841,130.93,-119.94,-95.84,114045,31936,0,298.3268688249425,62,1,0,0,0
1670699046210.00,0.080922371,-0.115655415,-2.761146476,131.52,-97.58,-83.14,116902,31936,0,305.8150528621156,63,1,0,0,0
1670699046217.00,1.3406544864214847,-0.815703613,-2.121290488,120.49,-200.95,-30.54,116902,31936,0,305.8150528621156,64,1,0,0,0
1670699046226.00,1.5403943611065751,-1.195771035,-2.221438803,165.1,-286.55,-24.4,123231,31936,0,322.40333314607363,65,1,0,0,0
1670699046233.00,0.38014073049136515,-0.895860391,0.5484115108004111,144.31,-286.72,-62.5,123231,31936,0,322.40333314607363,66,1,1,0,0
1670699046242.00,-1.510108037,-2.145973989,1.428263908006994,197.51,-266.13,-0.99,128534,31936,0,336.3024720852156,67,1,1,0,0
1670699046249.00,-1.600353625,-2.856113575,1.1781218630460941,230.24,-174.68,50.11,128534,31936,0,336.3024720852156,68,1,1,0,0
1670699046258.00,-1.850597363,-1.386280136,1.3179884871542413,210.22,75.3,-50,125767,31936,0,329.05017763969306,69,0,1,0,0
1670699046265.00,-1.040839988,-0.886473835,0.6578664111849937,207.16,167.74,-76.74,125767,31936,0,329.05017763969306,70,0,1,0,0
1670699046274.00,1.2889183059037934,0.4933057883890045,-0.102242147,184.97,195.06,-95.77,114284,31936,0,298.95328674054787,71,0,1,0,0
1670699046281.00,1.758677536579636,1.383059450782338,1.7176647365154023,72.86,189.54,-107.24,114284,31936,0,298.95328674054787,72,0,1,0,0
1670699046290.00,0.8184374807895521,0.8827877596869054,0.31758872611491856,141.17,91.04,-80.91,106717,31936,0,279.12021407366365,73,0,1,0,0
1670699046297.00,-1.351802498,0.1824909954434697,-0.722468793,163.78,37.77,-36.15,106717,31936,0,279.12021407366365,74,0,1,0,0
1670699046306.00,-2.342043173,-0.297830855,0.13749341829720638,140.94,-73.96,-48.39,104290,31936,0,272.7590580854876,75,0,1,0,0
1670699046313.00,-3.432284922,-0.838177903,1.8774765704890874,118.1,0.01,-33.78,104290,31936,0,272.7590580854876,75,0,1,0,0
1670699046322.00,-0.822527293,-2.478550112,1.0174817060768855,198.52,79.29,92.8,99845,31936,0,261.1087332534141,77,0,0,0,0
1670699046329.00,0.7072310081403627,-2.778946976,1.5275094510034832,89.45,-11.9,75.51,99845,31936,0,261.1087332534141,77,0,0,0,0
1670699046338.00,0.4469917210230973,-2.129367199,2.2575598794980007,-119.56,-5.4,32.06,92658,31936,0,242.27163886238765,78,0,0,0,0
1670699046345.00,0.17675659643078317,-1.41980855,2.287632406564786,-104.19,-13.9,119.3,92658,31936,0,242.27163886238765,79,0,0,0,0
1670699046354.00,0.39652724102647474,-0.410267992,1.3077256707361067,-35.88,-5.83,181.2,88871,31936,0,232.3459290448258,80,0,0,0,0
1670699046361.00,0.6963051158581759,0.6192580335992984,0.1978375694610895,-6.03,-11.07,197.71,88871,31936,0,232.3459290448258,81,0,0,0,0
1670699046370.00,0.5960915095127417,1.2487732492579067,-0.172034496,-6.43,-60.49,180.29,87232,31936,0,228.0501174813233,82,0,0,0,0
1670699046377.00,-0.094112495,1.308281202795103,-0.291893315,-23.54,-99.27,156.03,87232,31936,0,228.0501174813233,83,0,0,0,0
1670699046386.00,-0.51430596,1.2777850415321308,-1.051741651,-62.29,-109.57,103.45,86379,31936,0,225.8144083515688,84,0,0,0,0
1670699046393.00,-0.454487949,1.277287417630458,-1.241582075,-43.42,-72.83,104.22,86379,31936,0,225.8144083515688,85,0,0,1,0
1670699046402.00,-0.014657409,0.9467904793101396,-1.301416809,-14.29,11.21,99.88,86282,31936,0,225.5601717916788,86,0,0,1,0
1670699046409.00,-0.174813156,0.246295923,-0.541247635,-70.53,120.75,58.96,86282,31936,0,225.5601717916788,87,0,0,1,0
1670699046418.00,-0.15495393,-0.164194877,0.11892406001315516,-146.72,165.25,26.34,86903,31936,0,227.18780997406748,88,0,0,1,0
1670699046425.00,0.094921587,-0.244680685,0.8690970993644758,-205.49,166.95,7.13,86903,31936,0,227.18780997406748,89,0,0,1,0
1670699046434.00,0.13481473693391957,-0.205160263,1.0692702602427713,-222.99,156.77,-7.6,86662,31936,0,226.5561500675366,90,0,0,1,1
1670699046441.00,0.064726854,-0.425632291,0.7594420661574299,-222.82,156.98,-9.06,86662,31936,0,226.5561500675366,91,0,0,1,1
1670699046450.00,0.10465923783710873,-0.616095335,0.5696107009501692,-252.24,160.22,31.23,86529,31936,0,226.2075576709864,92,0,0,1,1
1670699046457.00,0.18461314644706267,-0.466547796,0.5097740369112731,-260.52,165.75,44.35,86529,31936,0,226.2075576709864,93,0,0,0,1
1670699046466.00,0.47458978284322917,0.063012109,-0.07007029,-253.85,173.62,54.07,86628,31936,0,226.46703622180195,94,0,0,0,1
1670699046473.00,0.4245902522287976,0.3925862883675013,-0.41992478,-235.75,163.83,43.3,86628,31936,0,226.46703622180195,95,0,0,0,1
1670699046482.00,0.2646155187943128,1.282176633407306,-0.889791922,-239.46,112.15,36.85,87903,31936,0,229.8088054368512,96,0,0,0,1
1670699046489.00,-0.055333594,2.111784800186487,-0.969674035,-255.91,30.72,22.47,87903,31936,0,229.8088054368512,97,0,0,0,1
1670699046498.00,-0.575256336,2.831411931158598,-0.679573149,-273.8,-7.24,-13.78,91610,31936,0,239.52483561739032,98,0,0,0,1
1670699046505.00,0.11484806843484344,2.9210583596916404,0.24050901333757438,-263.37,55.5,-29.36,91610,31936,0,239.52483561739032,98,0,0,0,1
1670699046514.00,2.2849804109205394,1.6807234194106677,0.570570912,-68.92,94.06,-58.39,95981,31936,0,250.98120678521784,100,0,0,0,0
1670699046521.00,2.505141234956176,0.9604054800060506,0.590610991,-8.12,57.85,-102.02,95981,31936,0,250.98120678521784,100,0,0,0,0
1670699046530.00,1.5553304560121206,-0.33989779,-0.31937245,88.26,-85.18,-150.13,96252,31936,0,251.69149655563223,101,0,0,0,0
1670699046537.00,1.3855471940970345,-0.540189058,-1.479381192,159.83,-276.82,-119.98,96252,31936,0,251.69149655563223,102,1,0,0,0
1670699046546.00,0.6657898746975486,0.18952897,-2.409416835,135.15,-286.72,-108.83,100359,31936,0,262.4559249212849,103,1,0,0,0
1670699046553.00,-0.233943562,0.9992536340413706,-1.939480452,90.03,-286.72,-105.83,100359,31936,0,262.4559249212849,104,1,0,0,0
1670699046562.00,-1.2036554,0.8889821886775008,-2.029572355,136.68,-255.12,-69.07,105456,31936,0,275.8151387950934,105,1,0,0,0
1670699046569.00,-0.953347845,0.13871163967834274,-2.359692027,147.06,-142.71,-47.93,105456,31936,0,275.8151387950934,106,1,0,0,0
1670699046578.00,0.8969771582588568,-1.321561225,-2.719838091,147.91,-177.62,-34.97,108067,31936,0,282.6585579484216,107,1,0,0,0
1670699046585.00,1.4473178059751788,-1.691839578,-3.030008219,176.87,-218.43,-28.77,108067,31936,0,282.6585579484216,108,1,0,0,0
1670699046594.00,1.4376721060871418,-1.692126219,0.9198008902669674,173.03,-284.55,-54.44,111712,31936,0,292.2120864102682,109,1,1,0,0
1670699046601.00,-0.331962351,-1.92242335,1.3295931956497473,183.4,-286.72,-43.72,111712,31936,0,292.2120864102682,110,1,1,0,0
1670699046610.00,-3.201588244,-2.492732462,1.629372716,221,-212.9,57.15,118213,31936,0,309.2511779,111,0,1,0,0
1670699046617.00,-3.021207987,-1.353054268,1.579143052129075,229.92,-24.72,26.02,118213,31936,0,309.2511779,112,0,1,0,0
1670699046626.00,-0.820823195,-0.563388722,0.1289072458734397,235.59,171.73,-53.87,110590,31936,0,289.2713295010249,113,0,1,0,0
1670699046633.00,1.2795653454809124,0.8662647548015843,0.26866788665133484,161.5,210.34,-84.39,110590,31936,0,289.2713295010249,114,0,1,0,0
1670699046642.00,1.7299571831629939,1.3759069006793854,1.8584272734481124,57.75,208.17,-61.19,102727,31936,0,268.6624421771567,115,0,1,0,0
1670699046649.00,1.670351617,1.0555382520406766,1.1081873997429146,81.47,164.19,-51.78,102727,31936,0,268.6624421771567,116,0,1,0,0
1670699046658.00,-0.349252579,0.3351589529291946,-0.822050139,154.57,-3.05,-34.41,100814,31936,0,263.64847785685146,117,0,1,0,0
1670699046665.00,-0.988857023,0.074768795,-1.122283996,154.36,-100.96,-23.65,100814,31936,0,263.64847785685146,118,0,1,0,0
1670699046674.00,-3.598463305,-1.105632599,1.6374872138976628,108.61,-37.79,8.72,99485,31936,0,260.16517488681194,119,0,1,0,0
1670699046681.00,-2.14807246,-2.136045514,1.5172648961483786,179.79,91.41,77.43,99485,31936,0,260.16517488681194,120,0,0,0,0
1670699046690.00,0.29231532905226154,-3.036469798,1.7470501489188837,42.96,-32.75,70.04,93190,31936,0,243.66600844858857,121,0,0,0,0
1670699046697.00,-0.077299441,-2.116904512,1.7968434888057347,-68.46,16.46,56.3,93190,31936,0,243.66600844858857,121,0,0,0,0
1670699046706.00,-0.296916,-0.97734779,1.8066447544110213,-68.94,23.06,135.28,89095,31936,0,232.9330320284893,123,0,0,0,0
1670699046713.00,-0.08653351,-0.427796982,1.4164530877183812,-59.06,17.58,172.7,89095,31936,0,232.9330320284893,123,0,0,0,0
1670699046722.00,0.5438489100769812,1.1117510098303225,0.006266996,-17.99,12.61,212.23,87098,31936,0,227.69890408931028,124,0,0,0,0
